,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
111,128375.0,90285.0,128375.0,38.2,25.9,42.7,,,,879.96,52.0,4220.0,45.0,90285.0,52.3,30.0,68.6,113.3,26.4,28.9,879.79,56.0,4222.0,42.0
112,128773.0,5986.0,128773.0,0.0,0.0,0.1,1.3,1.4,338.8,828.04,76.0,5806.0,18.0,5986.0,20.1,14.0,21.9,41.1,17.7,67.3,822.02,55.0,6020.0,34.0
113,129111.0,129169.0,129111.0,0.0,0.0,0.0,2.3,2.4,306.2,868.48,79.0,4543.0,19.0,129169.0,22.5,12.9,25.8,,,,868.93,55.0,4561.0,37.0
114,129183.0,129335.0,129183.0,0.0,0.0,0.2,1.4,1.6,333.0,863.32,77.0,4698.0,28.0,129335.0,26.7,18.0,30.2,,,,,,4891.0,
115,129191.0,49061.0,129191.0,1.0,0.5,1.0,4.4,4.2,255.6,865.16,72.0,4670.0,21.0,49061.0,32.7,22.8,38.7,90.8,24.6,33.6,865.91,51.0,4652.0,44.0
116,129213.0,122147.0,129213.0,0.0,0.0,0.3,1.2,1.4,340.4,849.42,79.0,5170.0,23.0,122147.0,0.0,0.0,0.0,0.0,0.0,389.3,849.13,49.0,5183.0,50.0
117,129443.0,131045.0,129443.0,3.9,2.3,4.9,9.3,7.5,184.2,862.11,75.0,4771.0,27.0,131045.0,17.8,6.6,19.2,,,,860.36,66.0,4812.0,28.0
118,129625.0,112254.0,129625.0,0.0,0.0,0.0,0.9,1.0,353.1,822.63,79.0,5999.0,18.0,112254.0,9.4,4.9,12.0,,,,823.56,50.0,6033.0,44.0
119,135924.0,161605.0,135924.0,0.1,0.0,0.1,1.8,2.0,319.8,851.18,79.0,5088.0,20.0,161605.0,31.6,21.4,34.7,55.4,20.3,51.1,851.9,67.0,5083.0,29.0
120,142624.0,42981.0,142624.0,0.3,0.0,0.3,2.8,2.9,292.6,871.14,74.0,4506.0,22.0,42981.0,17.4,11.9,20.7,37.7,16.9,73.9,869.7,75.0,4507.0,22.0
121,142878.0,160979.0,142878.0,7.7,5.7,8.4,18.0,11.5,123.6,853.48,68.0,5029.0,26.0,160979.0,26.4,14.7,33.0,40.8,17.7,66.2,856.26,62.0,4941.0,33.0
122,143476.0,6356.0,143476.0,1.5,1.1,1.5,6.2,5.6,223.5,870.34,76.0,4307.0,23.0,6356.0,26.8,17.3,30.2,42.3,18.0,64.4,869.42,55.0,4520.0,87.0
