,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
60,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-17,00:00,2023-02-17,07:00,30.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
61,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-18,00:00,2023-02-18,07:00,27.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
62,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-19,00:00,2023-02-19,07:00,10.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
63,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-20,00:00,2023-02-20,07:00,11.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
64,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-21,00:00,2023-02-21,07:00,7.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
65,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-22,00:00,2023-02-22,07:00,4.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
66,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-23,00:00,2023-02-23,07:00,7.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
67,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-24,00:00,2023-02-24,07:00,7.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
68,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-25,00:00,2023-02-25,07:00,17.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
69,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-26,00:00,2023-02-26,07:00,16.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
70,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-27,00:00,2023-02-27,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
71,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-28,00:00,2023-02-28,07:00,4.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
72,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-01,00:00,2023-03-01,07:00,7.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
73,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-02,00:00,2023-03-02,07:00,8.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
74,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-03,00:00,2023-03-03,07:00,7.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
75,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-04,00:00,2023-03-04,07:00,12.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
76,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-05,00:00,2023-03-05,07:00,8.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
77,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-06,00:00,2023-03-06,07:00,4.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
78,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-07,00:00,2023-03-07,07:00,20.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
